texto,token_principal,categoria,risk_score
"A verdadeira mudança começa com aceleração_80, e não com diálogo ou diplomacia.",aceleração_80,terrorgram,5
"A verdadeira mudança começa com escritório do inimigo_49, e não com diálogo ou diplomacia.",escritório do inimigo_49,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_29, e não com diálogo ou diplomacia.",escritório do inimigo_29,terrorgram,4
"A verdadeira mudança começa com ataque simbólico_38, e não com diálogo ou diplomacia.",ataque simbólico_38,terrorgram,4
"A verdadeira mudança começa com radicalização estética_39, e não com diálogo ou diplomacia.",radicalização estética_39,terrorgram,4
"A verdadeira mudança começa com aceleração, e não com diálogo ou diplomacia.",aceleração,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_69, e não com diálogo ou diplomacia.",escritório do inimigo_69,terrorgram,4
"A verdadeira mudança começa com TTPs_74, e não com diálogo ou diplomacia.",TTPs_74,terrorgram,5
"A verdadeira mudança começa com ataque simbólico, e não com diálogo ou diplomacia.",ataque simbólico,terrorgram,4
"A verdadeira mudança começa com chamada à ação, e não com diálogo ou diplomacia.",chamada à ação,terrorgram,4
"A verdadeira mudança começa com guerra racial_93, e não com diálogo ou diplomacia.",guerra racial_93,terrorgram,5
"A verdadeira mudança começa com mártir digital_56, e não com diálogo ou diplomacia.",mártir digital_56,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_69, e não com diálogo ou diplomacia.",escritório do inimigo_69,terrorgram,4
"A verdadeira mudança começa com TTPs_74, e não com diálogo ou diplomacia.",TTPs_74,terrorgram,5
"A verdadeira mudança começa com células autônomas_85, e não com diálogo ou diplomacia.",células autônomas_85,terrorgram,5
"A verdadeira mudança começa com black bloc armado_97, e não com diálogo ou diplomacia.",black bloc armado_97,terrorgram,5
"A verdadeira mudança começa com black bloc armado_97, e não com diálogo ou diplomacia.",black bloc armado_97,terrorgram,5
"A verdadeira mudança começa com inimigo interno, e não com diálogo ou diplomacia.",inimigo interno,terrorgram,4
"A verdadeira mudança começa com células autônomas_85, e não com diálogo ou diplomacia.",células autônomas_85,terrorgram,5
"A verdadeira mudança começa com lista de alvos, e não com diálogo ou diplomacia.",lista de alvos,terrorgram,4
"A verdadeira mudança começa com manifesto, e não com diálogo ou diplomacia.",manifesto,terrorgram,4
"A verdadeira mudança começa com TTPs, e não com diálogo ou diplomacia.",TTPs,terrorgram,4
"A verdadeira mudança começa com lobos solitários_42, e não com diálogo ou diplomacia.",lobos solitários_42,terrorgram,4
"A verdadeira mudança começa com TTPs_34, e não com diálogo ou diplomacia.",TTPs_34,terrorgram,4
"A verdadeira mudança começa com radicalização estética_99, e não com diálogo ou diplomacia.",radicalização estética_99,terrorgram,5
"A verdadeira mudança começa com inspire_95, e não com diálogo ou diplomacia.",inspire_95,terrorgram,5
"A verdadeira mudança começa com martírio branco, e não com diálogo ou diplomacia.",martírio branco,terrorgram,4
"A verdadeira mudança começa com propaganda da ação, e não com diálogo ou diplomacia.",propaganda da ação,terrorgram,4
"A verdadeira mudança começa com mártir digital_96, e não com diálogo ou diplomacia.",mártir digital_96,terrorgram,5
"A verdadeira mudança começa com mártir digital, e não com diálogo ou diplomacia.",mártir digital,terrorgram,4
"A verdadeira mudança começa com black bloc armado, e não com diálogo ou diplomacia.",black bloc armado,terrorgram,4
"A verdadeira mudança começa com ação direta_50, e não com diálogo ou diplomacia.",ação direta_50,terrorgram,4
"A verdadeira mudança começa com black bloc armado_57, e não com diálogo ou diplomacia.",black bloc armado_57,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_68, e não com diálogo ou diplomacia.",martelo e fogo_68,terrorgram,4
"A verdadeira mudança começa com martírio branco_63, e não com diálogo ou diplomacia.",martírio branco_63,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_49, e não com diálogo ou diplomacia.",escritório do inimigo_49,terrorgram,4
"A verdadeira mudança começa com ataque simbólico_58, e não com diálogo ou diplomacia.",ataque simbólico_58,terrorgram,4
"A verdadeira mudança começa com células autônomas_25, e não com diálogo ou diplomacia.",células autônomas_25,terrorgram,4
"A verdadeira mudança começa com TTPs_94, e não com diálogo ou diplomacia.",TTPs_94,terrorgram,5
"A verdadeira mudança começa com resistência armada_26, e não com diálogo ou diplomacia.",resistência armada_26,terrorgram,4
"A verdadeira mudança começa com chamada à ação_44, e não com diálogo ou diplomacia.",chamada à ação_44,terrorgram,4
"A verdadeira mudança começa com manifesto_41, e não com diálogo ou diplomacia.",manifesto_41,terrorgram,4
"A verdadeira mudança começa com resistência armada_66, e não com diálogo ou diplomacia.",resistência armada_66,terrorgram,4
"A verdadeira mudança começa com aceleração, e não com diálogo ou diplomacia.",aceleração,terrorgram,4
"A verdadeira mudança começa com TTPs_94, e não com diálogo ou diplomacia.",TTPs_94,terrorgram,5
"A verdadeira mudança começa com escritório do inimigo_29, e não com diálogo ou diplomacia.",escritório do inimigo_29,terrorgram,4
"A verdadeira mudança começa com mártir digital_56, e não com diálogo ou diplomacia.",mártir digital_56,terrorgram,4
"A verdadeira mudança começa com aceleração_40, e não com diálogo ou diplomacia.",aceleração_40,terrorgram,4
"A verdadeira mudança começa com mártir digital_56, e não com diálogo ou diplomacia.",mártir digital_56,terrorgram,4
"A verdadeira mudança começa com resistência armada_46, e não com diálogo ou diplomacia.",resistência armada_46,terrorgram,4
"A verdadeira mudança começa com lobos solitários_42, e não com diálogo ou diplomacia.",lobos solitários_42,terrorgram,4
"A verdadeira mudança começa com ataque simbólico_98, e não com diálogo ou diplomacia.",ataque simbólico_98,terrorgram,5
"A verdadeira mudança começa com guerra racial_53, e não com diálogo ou diplomacia.",guerra racial_53,terrorgram,4
"A verdadeira mudança começa com lista de alvos_71, e não com diálogo ou diplomacia.",lista de alvos_71,terrorgram,5
"A verdadeira mudança começa com chamada à ação_44, e não com diálogo ou diplomacia.",chamada à ação_44,terrorgram,4
"A verdadeira mudança começa com inspire, e não com diálogo ou diplomacia.",inspire,terrorgram,4
"A verdadeira mudança começa com manifesto_41, e não com diálogo ou diplomacia.",manifesto_41,terrorgram,4
"A verdadeira mudança começa com ataque simbólico, e não com diálogo ou diplomacia.",ataque simbólico,terrorgram,4
"A verdadeira mudança começa com black bloc armado, e não com diálogo ou diplomacia.",black bloc armado,terrorgram,4
"A verdadeira mudança começa com manifesto, e não com diálogo ou diplomacia.",manifesto,terrorgram,4
"A verdadeira mudança começa com martírio branco_23, e não com diálogo ou diplomacia.",martírio branco_23,terrorgram,4
"A verdadeira mudança começa com ataque simbólico_58, e não com diálogo ou diplomacia.",ataque simbólico_58,terrorgram,4
"A verdadeira mudança começa com martírio branco_23, e não com diálogo ou diplomacia.",martírio branco_23,terrorgram,4
"A verdadeira mudança começa com mártir digital_36, e não com diálogo ou diplomacia.",mártir digital_36,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_48, e não com diálogo ou diplomacia.",martelo e fogo_48,terrorgram,4
"A verdadeira mudança começa com células autônomas_85, e não com diálogo ou diplomacia.",células autônomas_85,terrorgram,5
"A verdadeira mudança começa com resistência armada_86, e não com diálogo ou diplomacia.",resistência armada_86,terrorgram,5
"A verdadeira mudança começa com TTPs, e não com diálogo ou diplomacia.",TTPs,terrorgram,4
"A verdadeira mudança começa com chamada à ação_44, e não com diálogo ou diplomacia.",chamada à ação_44,terrorgram,4
"A verdadeira mudança começa com lista de alvos_71, e não com diálogo ou diplomacia.",lista de alvos_71,terrorgram,5
"A verdadeira mudança começa com escritório do inimigo, e não com diálogo ou diplomacia.",escritório do inimigo,terrorgram,4
"A verdadeira mudança começa com células autônomas, e não com diálogo ou diplomacia.",células autônomas,terrorgram,4
"A verdadeira mudança começa com propaganda da ação, e não com diálogo ou diplomacia.",propaganda da ação,terrorgram,4
"A verdadeira mudança começa com aceleração, e não com diálogo ou diplomacia.",aceleração,terrorgram,4
"A verdadeira mudança começa com lista de alvos_71, e não com diálogo ou diplomacia.",lista de alvos_71,terrorgram,5
"A verdadeira mudança começa com manifesto_41, e não com diálogo ou diplomacia.",manifesto_41,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_28, e não com diálogo ou diplomacia.",martelo e fogo_28,terrorgram,4
"A verdadeira mudança começa com radicalização estética_59, e não com diálogo ou diplomacia.",radicalização estética_59,terrorgram,4
"A verdadeira mudança começa com aceleração_60, e não com diálogo ou diplomacia.",aceleração_60,terrorgram,4
"A verdadeira mudança começa com células autônomas_65, e não com diálogo ou diplomacia.",células autônomas_65,terrorgram,4
