texto,token_principal,categoria,risk_score
"A única saída é seguir os ideais de terror esotérico, mesmo que isso custe tudo.",terror esotérico,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo, mesmo que isso custe tudo.",accelerationismo,atomwaffen,5
"A única saída é seguir os ideais de atomwaffen, mesmo que isso custe tudo.",atomwaffen,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD_37, mesmo que isso custe tudo.",celular autônoma AWD_37,atomwaffen,5
"A única saída é seguir os ideais de terror esotérico_72, mesmo que isso custe tudo.",terror esotérico_72,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial, mesmo que isso custe tudo.",sobrevivencialismo racial,atomwaffen,5
"A única saída é seguir os ideais de terror esotérico_92, mesmo que isso custe tudo.",terror esotérico_92,atomwaffen,5
"A única saída é seguir os ideais de terror estratégico_28, mesmo que isso custe tudo.",terror estratégico_28,atomwaffen,5
"A única saída é seguir os ideais de colapso do sistema_43, mesmo que isso custe tudo.",colapso do sistema_43,atomwaffen,5
"A única saída é seguir os ideais de AWD-BR_76, mesmo que isso custe tudo.",AWD-BR_76,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_69, mesmo que isso custe tudo.",revolução branca_69,atomwaffen,5
"A única saída é seguir os ideais de o colapso vem aí_87, mesmo que isso custe tudo.",o colapso vem aí_87,atomwaffen,5
"A única saída é seguir os ideais de revolução branca, mesmo que isso custe tudo.",revolução branca,atomwaffen,5
"A única saída é seguir os ideais de colapso do sistema_23, mesmo que isso custe tudo.",colapso do sistema_23,atomwaffen,5
"A única saída é seguir os ideais de atomwaffen, mesmo que isso custe tudo.",atomwaffen,atomwaffen,5
"A única saída é seguir os ideais de violência redentora, mesmo que isso custe tudo.",violência redentora,atomwaffen,5
"A única saída é seguir os ideais de resistência armada ariana_99, mesmo que isso custe tudo.",resistência armada ariana_99,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo_22, mesmo que isso custe tudo.",accelerationismo_22,atomwaffen,5
"A única saída é seguir os ideais de nova ordem racial, mesmo que isso custe tudo.",nova ordem racial,atomwaffen,5
"A única saída é seguir os ideais de células AWD, mesmo que isso custe tudo.",células AWD,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_45, mesmo que isso custe tudo.",dia da corda_45,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo_62, mesmo que isso custe tudo.",accelerationismo_62,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_45, mesmo que isso custe tudo.",dia da corda_45,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD_77, mesmo que isso custe tudo.",celular autônoma AWD_77,atomwaffen,5
"A única saída é seguir os ideais de morte aos fracos_98, mesmo que isso custe tudo.",morte aos fracos_98,atomwaffen,5
"A única saída é seguir os ideais de antidemocracia, mesmo que isso custe tudo.",antidemocracia,atomwaffen,5
"A única saída é seguir os ideais de AWD-BR_56, mesmo que isso custe tudo.",AWD-BR_56,atomwaffen,5
"A única saída é seguir os ideais de terror esotérico_32, mesmo que isso custe tudo.",terror esotérico_32,atomwaffen,5
"A única saída é seguir os ideais de morte aos fracos_38, mesmo que isso custe tudo.",morte aos fracos_38,atomwaffen,5
"A única saída é seguir os ideais de células AWD_46, mesmo que isso custe tudo.",células AWD_46,atomwaffen,5
"A única saída é seguir os ideais de o colapso vem aí_67, mesmo que isso custe tudo.",o colapso vem aí_67,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial, mesmo que isso custe tudo.",sobrevivencialismo racial,atomwaffen,5
"A única saída é seguir os ideais de violência redentora_75, mesmo que isso custe tudo.",violência redentora_75,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo_22, mesmo que isso custe tudo.",accelerationismo_22,atomwaffen,5
"A única saída é seguir os ideais de guerra total, mesmo que isso custe tudo.",guerra total,atomwaffen,5
"A única saída é seguir os ideais de AWD-BR_56, mesmo que isso custe tudo.",AWD-BR_56,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_25, mesmo que isso custe tudo.",dia da corda_25,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD_77, mesmo que isso custe tudo.",celular autônoma AWD_77,atomwaffen,5
"A única saída é seguir os ideais de guerra total_64, mesmo que isso custe tudo.",guerra total_64,atomwaffen,5
"A única saída é seguir os ideais de terror esotérico_52, mesmo que isso custe tudo.",terror esotérico_52,atomwaffen,5
"A única saída é seguir os ideais de AWD-BR, mesmo que isso custe tudo.",AWD-BR,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_29, mesmo que isso custe tudo.",revolução branca_29,atomwaffen,5
"A única saída é seguir os ideais de revolução branca, mesmo que isso custe tudo.",revolução branca,atomwaffen,5
"A única saída é seguir os ideais de terror estratégico_88, mesmo que isso custe tudo.",terror estratégico_88,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_25, mesmo que isso custe tudo.",dia da corda_25,atomwaffen,5
"A única saída é seguir os ideais de resistência armada ariana_59, mesmo que isso custe tudo.",resistência armada ariana_59,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD_97, mesmo que isso custe tudo.",celular autônoma AWD_97,atomwaffen,5
"A única saída é seguir os ideais de guerra total_84, mesmo que isso custe tudo.",guerra total_84,atomwaffen,5
"A única saída é seguir os ideais de células AWD, mesmo que isso custe tudo.",células AWD,atomwaffen,5
"A única saída é seguir os ideais de morte aos fracos, mesmo que isso custe tudo.",morte aos fracos,atomwaffen,5
"A única saída é seguir os ideais de AWD-BR_76, mesmo que isso custe tudo.",AWD-BR_76,atomwaffen,5
"A única saída é seguir os ideais de violência redentora_75, mesmo que isso custe tudo.",violência redentora_75,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo_22, mesmo que isso custe tudo.",accelerationismo_22,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_29, mesmo que isso custe tudo.",revolução branca_29,atomwaffen,5
