texto,token_principal,categoria,risk_score
É preciso estudar mais sobre o verdadeiro significado de raça ariana_25 para compreender nossa história.,raça ariana_25,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hh_63 para compreender nossa história.,hh_63,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras_61 para compreender nossa história.,14 palavras_61,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras para compreender nossa história.,14 palavras,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nazbol_56 para compreender nossa história.,nazbol_56,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_67 para compreender nossa história.,orgulho branco_67,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo para compreender nossa história.,nacional-socialismo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de ariano puro para compreender nossa história.,ariano puro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de heil hitler_62 para compreender nossa história.,heil hitler_62,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_31 para compreender nossa história.,camisas pardas_31,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_40 para compreender nossa história.,1488_40,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_31 para compreender nossa história.,camisas pardas_31,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de 1488_80 para compreender nossa história.,1488_80,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de 1488_20 para compreender nossa história.,1488_20,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_20 para compreender nossa história.,1488_20,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro para compreender nossa história.,neonazismo brasileiro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nazbol_36 para compreender nossa história.,nazbol_36,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de revisionismo histórico_50 para compreender nossa história.,revisionismo histórico_50,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial para compreender nossa história.,antiglobalismo racial,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de heil hitler_22 para compreender nossa história.,heil hitler_22,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_26 para compreender nossa história.,limpeza étnica_26,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão_74 para compreender nossa história.,hitler tinha razão_74,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo_48 para compreender nossa história.,judeus controlam tudo_48,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de heil hitler_42 para compreender nossa história.,heil hitler_42,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro para compreender nossa história.,neonazismo brasileiro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de nazbol_96 para compreender nossa história.,nazbol_96,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de NSDAP para compreender nossa história.,NSDAP,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro para compreender nossa história.,neonazismo brasileiro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de NSDAP_35 para compreender nossa história.,NSDAP_35,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nazbol_56 para compreender nossa história.,nazbol_56,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de raça ariana para compreender nossa história.,raça ariana,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco para compreender nossa história.,orgulho branco,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de revisionismo histórico_70 para compreender nossa história.,revisionismo histórico_70,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de raça ariana_85 para compreender nossa história.,raça ariana_85,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de NSDAP_95 para compreender nossa história.,NSDAP_95,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de ariano puro_58 para compreender nossa história.,ariano puro_58,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_33 para compreender nossa história.,antiglobalismo racial_33,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hh para compreender nossa história.,hh,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_37 para compreender nossa história.,neonazismo brasileiro_37,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão para compreender nossa história.,hitler tinha razão,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_47 para compreender nossa história.,orgulho branco_47,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de NSDAP_95 para compreender nossa história.,NSDAP_95,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de 1488_60 para compreender nossa história.,1488_60,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_46 para compreender nossa história.,limpeza étnica_46,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de raça ariana_65 para compreender nossa história.,raça ariana_65,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_27 para compreender nossa história.,orgulho branco_27,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão_34 para compreender nossa história.,hitler tinha razão_34,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo_24 para compreender nossa história.,nacional-socialismo_24,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_33 para compreender nossa história.,antiglobalismo racial_33,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_52 para compreender nossa história.,supremacia branca_52,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_52 para compreender nossa história.,supremacia branca_52,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_86 para compreender nossa história.,limpeza étnica_86,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de nazbol para compreender nossa história.,nazbol,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_86 para compreender nossa história.,limpeza étnica_86,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de raça ariana_65 para compreender nossa história.,raça ariana_65,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_40 para compreender nossa história.,1488_40,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica para compreender nossa história.,limpeza étnica,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo_84 para compreender nossa história.,nacional-socialismo_84,neonazismo,5
